"id","index","ec_list_no","cas_id_number","name","page_id","url"
"22","005-010-00-9","422-050-6","118612-00-3","<i>N</i>,<i>N</i>-dimethylanilinium tetrakis(pentafluorophenyl)borate","8143","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/8143"
"23","005-011-00-4","235-541-3","12267-73-1","tetraboron disodium heptaoxide, hydrate","44018","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/44018"
"24","005-011-00-4","215-540-4","1303-96-4, 1330-43-4, 12179-04-3","disodium tetraborate, anhydrous|boric acid, disodium salt","85475","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/85475"
"25","005-011-00-4","237-560-2","13840-56-7","orthoboric acid, sodium salt ","127667","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/127667"
"26","005-011-01-1","215-540-4","1303-96-4, 1330-43-4, 12179-04-3","disodium tetraborate decahydrate|borax decahydrate","85475","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/85475"
"27","005-011-02-9","215-540-4","1303-96-4, 1330-43-4, 12179-04-3","disodium tetraborate pentahydrate|borax pentahydrate","85475","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/85475"
"28","005-012-00-X","418-070-1","141714-54-7","diethyl{}{4-[1,5,5-tris(4-diethylaminophenyl)penta-2,4-dienylidene]cyclohexa-2,5-dienylidene}}ammonium butyltriphenylborate","70018","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/70018"
"29","005-013-00-5","425-380-9","7397-46-8","diethylmethoxyborane","112050","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/112050"
"30","005-014-00-0","438-670-5","87199-17-5","4-formylphenylboronic acid","73632","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/73632"
"31","005-015-00-6","414-380-4","140681-55-6","1-chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)","13619","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/13619"
"32","005-016-00-1","431-370-5","","tetrabutylammonium butyl tris-(4-<i>tert</i>-butylphenyl)borate","82690","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/82690"
"33","005-017-00-7","239-172-9","13517-20-9, 15120-21-5","sodium perborate|[containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","11818","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/11818"
"34","005-017-00-7","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","sodium peroxometaborate|sodium peroxoborate|[containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"35","005-017-01-4","239-172-9","13517-20-9, 15120-21-5","sodium perborate|[containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","11818","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/11818"
"36","005-017-01-4","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","sodium peroxometaborate|sodium peroxoborate|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"37","005-018-00-2","239-172-9","13517-20-9, 15120-21-5","perboric acid (H3BO2(O2)), monosodium salt trihydrate|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","11818","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/11818"
"38","005-018-00-2","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"39","005-018-00-2","234-390-0","10332-33-9, 11138-47-9, 12040-72-1, 37244-98-7","perboric acid, sodium salt, tetrahydrate|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","84706","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/84706"
"40","005-018-01-X","239-172-9","13517-20-9, 15120-21-5","perboric acid (H3BO2(O2)), monosodium salt, trihydrate","11818","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/11818"
"41","005-018-01-X","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","perboric acid (HBO(O2)), sodium salt, tetrahydrate","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"42","005-018-01-X","234-390-0","10332-33-9, 11138-47-9, 12040-72-1, 37244-98-7","perboric acid, sodium salt, tetrahydrate","84706","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/84706"
"43","005-019-00-8","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","perboric acid (HBO(O2)), sodium salt, monohydrate|sodium peroxoborate|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"44","005-019-00-8","234-390-0","10332-33-9, 11138-47-9, 12040-72-1, 37244-98-7","perboric acid, sodium salt, monohydrate|perboric acid, sodium salt|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]|[containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","84706","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/84706"
"45","005-019-01-5","231-556-4","7632-04-4, 10332-33-9, 10486-00-7","perboric acid (HBO(O2)), sodium salt, monohydrate|sodium peroxoborate|[containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","62020","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62020"
"46","005-019-01-5","234-390-0","10332-33-9, 11138-47-9, 12040-72-1, 37244-98-7","perboric acid, sodium salt|perboric acid, sodium salt, monohydrate|[containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm]","84706","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/84706"
"47","005-020-00-3","234-541-0","12008-41-2, 12280-03-4","disodium octaborate anhydrous|disodium octaborate tetrahydrate","32663","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/32663"
"48","006-001-00-2","211-128-3","630-08-0","carbon monoxide","28128","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/28128"
"49","006-002-00-8","200-870-3","75-44-5","phosgene|carbonyl chloride","55473","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/55473"
"50","006-003-00-3","200-843-6","75-15-0","carbon disulphide","29325","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/29325"
"51","006-004-00-9","200-848-3","75-20-7","calcium carbide","27708","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/27708"
"52","006-005-00-4","205-286-2","137-26-8","thiram (ISO)|tetramethylthiuram disulphide","116481","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/116481"
"53","006-006-00-X","200-821-6","74-90-8","hydrogen cyanide|hydrocyanic acid","131393","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/131393"
"54","006-006-01-7","200-821-6","74-90-8","hydrogen cyanide ...%|hydrocyanic acid ...%","131393","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/131393"
"55","006-007-00-5","","","salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex","153387","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153387"
"56","006-008-00-0","201-706-3","86-88-4","antu (ISO)|1-(1-naphthyl)-2-thiourea","2905","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/2905"
"57","006-009-00-6","204-318-2","119-38-0","1-isopropyl-3-methylpyrazol-5-yl dimethylcarbamate|Isolan","103275","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/103275"
"58","006-010-00-1","204-525-8","122-15-6","5,5-dimethyl-3-oxocyclohex-1-enyl dimethylcarbamate 5,5-dimethyldihydroresorcinol dimethylcarbamate|Dimetan","110938","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/110938"
"59","006-011-00-7","200-555-0","63-25-2","carbaryl (ISO)|1-naphthyl methylcarbamate","15882","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/15882"
"60","006-012-00-2","205-288-3","137-30-4","ziram (ISO)|zinc bis dimethyldithiocarbamate","113810","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/113810"
"61","006-013-00-8","205-293-0","137-42-8","metam-sodium (ISO)|sodium methyldithiocarbamate","136146","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/136146"
"62","006-014-00-3","205-547-0","142-59-6","nabam (ISO)|disodium ethylenebis(<i>N,N</i>'-dithiocarbamate)","20714","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/20714"
"63","006-015-00-9","206-354-4","330-54-1","diuron (ISO)|3-(3,4-dichlorophenyl)-1,1-dimethylurea","446","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/446"
"64","006-016-00-4","204-043-8","114-26-1","propoxur (ISO)|2-isopropyloxyphenyl <i>N</i>-methylcarbamate|2-isopropoxyphenyl methylcarbamate","47788","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/47788"
"65","006-017-00-X","204-123-2","116-06-3","aldicarb (ISO)|2-methyl-2-(methylthio)propanal-<i>O</i>-(<i>N</i>-methylcarbamoyl)oxime","82326","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/82326"
"66","006-018-00-5","217-990-7","2032-59-9","aminocarb (ISO)|4-dimethylamino-3-tolyl methylcarbamate","118758","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/118758"
"67","006-019-00-0","218-961-1","2303-16-4","di-allate (ISO)|<i>S</i>-(2,3-dichloroallyl)-<i>N</i>,<i>N</i>-diisopropylthiocarbamate","127954","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/127954"
"68","006-020-00-6","202-930-4","101-27-9","barban (ISO)|4-chlorbut-2-ynyl <i>N</i>-(3-chlorophenyl)carbamate","97387","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/97387"
"69","006-021-00-1","206-356-5","330-55-2","linuron (ISO)|3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea","3650","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/3650"
"70","006-022-00-7","","1563-67-3","decarbofuran (ISO)|2,3-dihydro-2-methylbenzofuran-7-yl methylcarbamate","153388","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153388"
"71","006-023-00-2","217-991-2","2032-65-7","mercaptodimethur (ISO)|methiocarb (ISO)|3,5-dimethyl-4-methylthiophenyl <i>N</i>-methylcarbamate","119333","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/119333"
"72","006-024-00-8","205-443-5","140-93-2","proxan-sodium (ISO)|sodium <i>O</i>-isopropyldithiocarbonate","116406","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/116406"
"73","006-025-00-3","209-542-4","584-79-2, 231937-89-6","allethrin|(<i>RS</i>)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1<i>RS</i>,3<i>RS</i>;1<i>RS</i>,3<i>SR</i>)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate|bioallethrin|(<i>RS</i>)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1<i>R</i>,3<i>R</i>)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate","46720","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/46720"
"74","006-025-00-3","249-013-5","28434-00-6, 84030-86-4, 260359-57-7","S-bioallethrin|esbiothrin|(<i>S</i>)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1<i>R</i>,3<i>R</i>)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate|(<i>RS</i>)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1<i>R</i>,3<i>R</i>)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate ","104497","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/104497"
"75","006-026-00-9","216-353-0","1563-66-2","carbofuran (ISO)|2,3-dihydro-2,2-dimethylbenzofuran-7-yl <i>N</i>-methylcarbamate","47067","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/47067"
"76","006-028-00-X","213-546-1","973-21-7","dinobuton (ISO)|2-(1-methylpropyl)-4,6-dinitrophenyl isopropyl carbonate","23443","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/23443"
"77","006-029-00-5","230-253-4","6988-21-2","dioxacarb (ISO)|2-(1,3-dioxolan-2-yl)phenyl <i>N</i>-methylcarbamate","5447","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/5447"
"78","006-030-00-0","212-073-8","759-94-4","EPTC (ISO)|<i>S</i>-ethyl dipropylthiocarbamate","102771","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/102771"
"79","006-031-00-6","244-879-0","22259-30-9","formetanate (ISO)|3-[(EZ)-dimethylaminomethyleneamino]phenyl methylcarbamate","117419","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/117419"
"80","006-032-00-1","217-129-5","1746-81-2","monolinuron (ISO)|3-(4-chlorophenyl)-1-methoxy-1-methylurea","135032","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/135032"
"81","006-033-00-7","243-433-2","19937-59-8","metoxuron (ISO)|3-(3-chloro-4-methoxyphenyl)-1,1-dimethylurea","119106","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/119106"
"82","006-034-00-2","214-215-4","1114-71-2","pebulate (ISO)|<i>N</i>-butyl-<i>N</i>-ethyl-<i>S</i>-propylthiocarbamate","24609","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/24609"
"83","006-035-00-8","245-430-1","23103-98-2","pirimicarb (ISO)|2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl dimethylcarbamate","89061","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/89061"
"84","006-036-00-3","217-685-9","1929-88-0","benzthiazuron (ISO)|1-benzothiazol-2-yl-3-methylurea","104916","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/104916"
"85","006-037-00-9","220-113-0","2631-37-0","promecarb (ISO)|3-isopropyl-5-methylphenyl <i>N</i>-methylcarbamate","1216","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/1216"
"86","006-038-00-4","202-388-9","95-06-7","sulfallate (ISO)|2-chloroallyl <i>N</i>,<i>N</i>-dimethyldithiocarbamate","49491","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/49491"
"87","006-039-00-X","218-962-7","2303-17-5","tri-allate (ISO)|<i>S</i>-2,3,3-trichloroallyl diisopropylthiocarbamate","127428","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/127428"
"88","006-040-00-5","","2532-43-6","3-methylpyrazol-5-yl-dimethylcarbamate|monometilan","153389","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153389"
"89","006-041-00-0","201-208-6","79-44-7","dimethylcarbamoyl chloride","118113","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/118113"
"90","006-042-00-6","205-766-1","150-68-5","monuron (ISO)|3-(4-chlorophenyl)-1,1-dimethylurea","55375","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/55375"
"91","006-043-00-1","620-358-7","140-41-0","3-(4-chlorophenyl)-1,1-dimethyluronium trichloroacetate|monuron-TCA","153390","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153390"
"92","006-044-00-7","251-835-4","34123-59-6","isoproturon (ISO)|3-(4-isopropylphenyl)-1,1-dimethylurea","15144","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/15144"
"93","006-045-00-2","240-815-0","16752-77-5","methomyl (ISO)|1-(methylthio)ethylideneamino <i>N</i>-methylcarbamate","62917","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62917"
"94","006-046-00-8","245-216-8","22781-23-3","bendiocarb (ISO)|2,2-dimethyl-1,3-benzodioxol-4-yl N-methylcarbamate","34797","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/34797"
"95","006-047-00-3","620-359-2","8065-36-9","bufencarb (ISO)|reaction mass of 3-(1-methylbutyl)phenyl <i>N</i>-methylcarbamate and 3-(1-ethylpropyl)phenyl <i>N</i>-methylcarbamate","153391","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153391"
"96","006-048-00-9","249-981-9","29973-13-5","ethiofencarb (ISO)|2-(ethylthiomethyl)phenyl <i>N</i>-methylcarbamate","15676","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/15676"
"97","006-049-00-4","207-944-4","502-55-6","dixanthogen|<i>O</i>,<i>O</i>-diethyl dithiobis(thioformate)","24395","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/24395"
"98","006-050-00-X","","4482-55-7","1,1-dimethyl-3-phenyluronium trichloroacetate|fenuron-TCA","153392","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153392"
"99","006-051-00-5","238-484-2","14484-64-1","ferbam (ISO)|iron tris(dimethyldithiocarbamate)","52997","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/52997"
"100","006-052-00-0","245-656-0","23422-53-9","formetanate hydrochloride|3-(<i>N</i>,<i>N</i>-dimethylaminomethyleneamino)phenyl <i>N</i>-methylcarbamate","123181","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/123181"
"101","006-053-00-6","220-114-6","2631-40-5","isoprocarb (ISO)|2-isopropylphenyl <i>N</i>-methylcarbamate","1765","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/1765"
"102","006-054-00-1","206-249-3","315-18-4","mexacarbate (ISO)|3,5-dimethyl-4-dimethylaminophenyl <i>N</i>-methylcarbamate","99194","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/99194"
"103","006-055-00-7","219-364-9","2425-10-7","xylylcarb (ISO)|3,4-dimethylphenyl N-methylcarbamate|3,4-xylyl methylcarbamate|MPMC","20693","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/20693"
"104","006-056-00-2","214-446-0","1129-41-5","metolcarb (ISO)|<i>m</i>-tolyl methylcarbamate|MTMC","22445","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/22445"
"105","006-057-00-8","217-682-2","1929-82-4","nitrapyrin (ISO)|2-chloro-6-trichloromethylpyridine","103607","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/103607"
"106","006-058-00-3","","2163-79-3","noruron (ISO)|1,1-dimethyl-3-(perhydro-4,7-methanoinden-5-yl)urea","153393","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153393"
"107","006-059-00-9","245-445-3","23135-22-0","oxamyl (ISO)|<i>N</i>',<i>N</i>'-dimethylcarbamoyl(methylthio)methylenamine <i>N</i>-methylcarbamate","48256","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/48256"
"108","006-060-00-4","226-066-2","5259-88-1","oxycarboxin (ISO)|2,3-dihydro-6-methyl-5-(<i>N</i>-phenylcarbamoyl)-1,4-oxothiine 4,4-dioxide","113110","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/113110"
"109","006-061-00-X","243-193-9","19622-19-6","<i>S</i>-ethyl <i>N</i>-(dimethylaminopropyl)thiocarbamatehydrochloride|prothiocarb hydrochloride","42205","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/42205"
"110","006-062-00-5","620-362-9","1918-18-9","methyl 3,4-dichlorophenylcarbanilate|SWEP.","153394","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153394"
"111","006-063-00-0","248-924-5","28249-77-6","thiobencarb (ISO)|<i>S</i>-4-chlorobenzyl diethylthiocarbamate","49748","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/49748"
"112","006-064-00-6","254-346-4","39196-18-4","thiofanox (ISO)|3,3-dimethyl-1-(methylthio)butanone-<i>O</i>-(<i>N</i>-methylcarbamoyl)oxime","100815","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/100815"
"113","006-065-00-1","","15271-41-7","3-chloro-6-cyano-bicyclo(2,2,1)heptan-2-one-<i>O</i>-(<i>N</i>-methylcarbamoyl)oxime|triamid","153395","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153395"
"114","006-066-00-7","217-681-7","1929-77-7","vernolate (ISO)|<i>S</i>-propyl dipropylthiocarbamate","103083","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/103083"
"115","006-067-00-2","607-955-8","2655-14-3","XMC|3,5-xylyl methylcarbamate","109919","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/109919"
"116","006-068-00-8","206-382-7","334-88-3","diazomethane","43412","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/43412"
"117","006-069-00-3","245-740-7","23564-05-8","thiophanate-methyl (ISO)|1,2-di-(3-methoxycarbonyl-2-thioureido)benzene","26172","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/26172"
"118","006-070-00-9","262-302-0","60568-05-0","furmecyclox (ISO)|<i>N</i>-cyclohexyl-<i>N</i>-methoxy-2,5-dimethyl-3-furamide","128947","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/128947"
"119","006-071-00-4","401-620-8","87731-18-8","cyclooct-4-en-1-yl methyl carbonate","124937","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/124937"
"120","006-072-00-X","401-730-6","52888-80-9","prosulfocarb(ISO)|<i>S</i>-benzyl <i>N</i>,<i>N</i>-dipropylthiocarbamate","112451","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/112451"
"121","006-073-00-5","401-950-2","31506-43-1","3-(dimethylamino)propylurea","56071","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/56071"
"122","006-074-00-0","402-440-2","2094-99-7","2-(3-(prop-1-en-2-yl)phenyl)prop-2-yl isocyanate","59296","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/59296"
"123","006-076-00-1","616-995-5","8018-01-7","mancozeb (ISO)|manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt","80487","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/80487"
"124","006-077-00-7","235-654-8","12427-38-2","maneb (ISO)|manganese ethylenebis(dithiocarbamate) (polymeric)","130431","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/130431"
"125","006-078-00-2","235-180-1","12122-67-7","zineb (ISO)|zinc ethylenebis(dithiocarbamate) (polymeric)","67848","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/67848"
"126","006-079-00-8","202-607-8","97-77-8","disulfiram|tetraethylthiuramdisulfide","33434","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/33434"
"127","006-080-00-3","202-605-7","97-74-5","tetramethylthiuram monosulphide","32186","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/32186"
"128","006-081-00-9","205-232-8","136-23-2","zinc bis(dibutyldithiocarbamate)","26726","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/26726"
"129","006-082-00-4","238-270-9","14324-55-1","zinc bis(diethyldithiocarbamate)","64342","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/64342"
